Year (4-digit calendar year),"Geographic ID code (FIPS code, see specification below)",Type of beverage (see specification below),Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Gallons of ethanol per capita (14+),Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Gallons of ethanol per capita (21+),Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV,State_Region,Type of Beverage,Source
1970,1,1,3863000,1738350,2499000,6956,0.6956,9,2020000,8606,0.8606,9,.,.,.,Alabama,Spirits,unknown
1970,1,2,1412000,225920,2499000,904,0.0904,9,2020000,1118,0.1118,9,.,.,.,Alabama,Wine,unknown
1970,1,3,33098000,1489410,2499000,5960,0.596,10,2020000,7373,0.7373,10,.,.,.,Alabama,Beer,unknown
1970,1,4,.,3453680,2499000,13820,1.382,10,2020000,17097,1.7097,10,.,.,.,Alabama,All beverages,unknown
1970,2,1,945000,425250,205000,20744,2.0744,1,165000,25773,2.5773,1,.,.,.,Alaska,Spirits,unknown
1970,2,2,470000,75200,205000,3668,0.3668,2,165000,4558,0.4558,2,.,.,.,Alaska,Wine,unknown
1970,2,3,5372000,241740,205000,11792,1.1792,5,165000,14651,1.4651,5,.,.,.,Alaska,Beer,unknown
1970,2,4,.,742190,205000,36204,3.6204,1,165000,44981,4.4981,1,.,.,.,Alaska,All beverages,unknown
1970,4,1,2967000,1335150,1272000,10496,1.0496,5,1031000,12950,1.295,5,.,.,.,Arizona,Spirits,unknown
1970,4,2,2508000,401280,1272000,3155,0.3155,3,1031000,3892,0.3892,3,.,.,.,Arizona,Wine,unknown
1970,4,3,38604000,1737180,1272000,13657,1.3657,2,1031000,16849,1.6849,2,.,.,.,Arizona,Beer,unknown
1970,4,4,.,3473610,1272000,27308,2.7308,4,1031000,33692,3.3692,4,.,.,.,Arizona,All beverages,unknown
1970,5,1,1865000,839250,1422000,5902,0.5902,10,1169000,7179,0.7179,10,.,.,.,Arkansas,Spirits,unknown
1970,5,2,1193000,190880,1422000,1342,0.1342,7,1169000,1633,0.1633,8,.,.,.,Arkansas,Wine,unknown
1970,5,3,22378000,1007010,1422000,7082,0.7082,10,1169000,8614,0.8614,10,.,.,.,Arkansas,Beer,unknown
1970,5,4,.,2037140,1422000,14326,1.4326,10,1169000,17426,1.7426,10,.,.,.,Arkansas,All beverages,unknown
1970,6,1,45071000,20281950,14811000,13694,1.3694,3,12247000,16561,1.6561,3,.,.,.,California,Spirits,unknown
1970,6,2,58590000,9374400,14811000,6329,0.6329,1,12247000,7654,0.7654,1,.,.,.,California,Wine,unknown
1970,6,3,363645000,16364025,14811000,11049,1.1049,7,12247000,13362,1.3362,7,.,.,.,California,Beer,unknown
1970,6,4,.,46020375,14811000,31072,3.1072,2,12247000,37577,3.7577,2,.,.,.,California,All beverages,unknown
1970,8,1,4494000,2022300,1608000,12576,1.2576,3,1301000,15544,1.5544,3,.,.,.,Colorado,Spirits,unknown
1970,8,2,3132000,501120,1608000,3116,0.3116,3,1301000,3852,0.3852,3,.,.,.,Colorado,Wine,unknown
1970,8,3,42145000,1896525,1608000,11794,1.1794,5,1301000,14577,1.4577,5,.,.,.,Colorado,Beer,unknown
1970,8,4,.,4419945,1608000,27487,2.7487,4,1301000,33973,3.3973,3,.,.,.,Colorado,All beverages,unknown
1970,9,1,7277000,3274650,2238000,14632,1.4632,2,1868000,17530,1.753,2,.,.,.,Connecticut,Spirits,unknown
1970,9,2,4726000,756160,2238000,3379,0.3379,3,1868000,4048,0.4048,3,.,.,.,Connecticut,Wine,unknown
1970,9,3,49680000,2235600,2238000,9989,0.9989,8,1868000,11968,1.1968,8,.,.,.,Connecticut,Beer,unknown
1970,9,4,.,6266410,2238000,28000,2.8,4,1868000,33546,3.3546,4,.,.,.,Connecticut,All beverages,unknown
1970,10,1,1521000,684450,394000,17372,1.7372,1,322000,21256,2.1256,2,.,.,.,Delaware,Spirits,unknown
1970,10,2,528000,84480,394000,2144,0.2144,5,322000,2624,0.2624,5,.,.,.,Delaware,Wine,unknown
1970,10,3,10263000,461835,394000,11722,1.1722,6,322000,14343,1.4343,5,.,.,.,Delaware,Beer,unknown
1970,10,4,.,1230765,394000,31238,3.1238,2,322000,38223,3.8223,2,.,.,.,Delaware,All beverages,unknown
