Year,State_Region,Type of Beverage,Gallons of beverage,Gallons of ethanol,Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older
1970,Alabama,All beverages,38.373,3.45368,2.499,13820,2.02,17097
1970,Alaska,All beverages,6.787,0.74219,0.205,36204,0.165,44981
1970,Arizona,All beverages,44.079,3.47361,1.272,27308,1.031,33692
1970,Arkansas,All beverages,25.436,2.03714,1.422,14326,1.169,17426
1970,California,All beverages,467.306,46.020375,14.811,31072,12.247,37577
1970,Colorado,All beverages,49.771,4.419945,1.608,27487,1.301,33973
1970,Connecticut,All beverages,61.683,6.26641,2.238,28000,1.868,33546
1970,Delaware,All beverages,12.312,1.230765,0.394,31238,0.322,38223
1970,District of Columbia,All beverages,26.593,3.859575,0.581,66430,0.486,79415
1970,Florida,All beverages,152.16899999999998,14.9924,5.166,29021,4.355,34426
1970,Georgia,All beverages,68.474,6.453795,3.312,19486,2.684,24045
1970,Hawaii,All beverages,15.893,1.37622,0.555,24797,0.45,30583
1970,Idaho,All beverages,14.8,1.047345,0.513,20416,0.41,25545
1970,Illinois,All beverages,258.249,23.02005,8.162,28204,6.755,34079
1970,Indiana,All beverages,92.622,6.82886,3.769,18118,3.071,22237
1970,Iowa,All beverages,54.227,3.80688,2.076,18338,1.699,22407
1970,Kansas,All beverages,35.225,2.67192,1.678,15923,1.373,19460
1970,Kentucky,All beverages,54.721000000000004,4.393075,2.363,18591,1.918,22904
1970,Louisiana,All beverages,78.366,6.15864,2.567,23992,2.041,30175
1970,Maine,All beverages,22.088,1.719985,0.727,23659,0.597,28810
1970,Maryland,All beverages,95.852,8.37401,2.842,29465,2.342,35756
1970,Massachusetts,All beverages,128.312,11.841875,4.229,28002,3.507,33766
1970,Michigan,All beverages,218.517,17.0254,6.359,26774,5.146,33085
1970,Minnesota,All beverages,79.464,6.91648,2.735,25289,2.219,31169
1970,Mississippi,All beverages,31.903,2.52278,1.568,16089,1.242,20312
1970,Missouri,All beverages,98.892,8.06458,3.479,23181,2.879,28012
1970,Montana,All beverages,18.741999999999997,1.355185,0.502,26996,0.405,33461
1970,Nebraska,All beverages,34.548,2.655905,1.093,24299,0.894,29708
1970,Nevada,All beverages,17.601,1.97457,0.354,55779,0.297,66484
1970,New Hampshire,All beverages,24.508000000000003,2.589785,0.537,48227,0.443,58460
1970,New Jersey,All beverages,167.24,15.57518,5.313,29315,4.459,34930
1970,New Mexico,All beverages,21.791999999999998,1.783945,0.701,25449,0.554,32201
1970,New York,All beverages,434.976,41.046055,13.696,29969,11.509,35664
1970,North Carolina,All beverages,70.658,6.67525,3.734,17877,3.003,22229
1970,North Dakota,All beverages,13.346,1.0436,0.446,23399,0.356,29315
1970,Ohio,All beverages,232.93800000000002,17.21297,7.764,22170,6.355,27086
1970,Oklahoma,All beverages,38.517,3.37944,1.921,17592,1.584,21335
1970,Oregon,All beverages,47.774,3.86122,1.564,24688,1.284,30072
1970,Pennsylvania,All beverages,275.204,20.167945,8.846,22799,7.357,27413
1970,Rhode Island,All beverages,23.915,2.02643,0.716,28302,0.592,34230
1970,South Carolina,All beverages,39.183,3.786485,1.859,20368,1.467,25811
1970,South Dakota,All beverages,11.367,0.951405,0.484,19657,0.387,24584
1970,Tennessee,All beverages,61.166000000000004,4.4111,2.906,15179,2.378,18550
1970,Texas,All beverages,258.177,18.005725,8.1,22229,6.567,27418
1970,Utah,All beverages,13.701,1.056265,0.731,14450,0.57,18531
1970,Vermont,All beverages,11.924,1.12825,0.322,35039,0.261,43228
1970,Virginia,All beverages,96.643,7.977215,3.418,23339,2.79,28592
1970,Washington,All beverages,79.00999999999999,6.70219,2.52,26596,2.057,32582
1970,West Virginia,All beverages,27.835,2.143985,1.306,16416,1.069,20056
1970,Wisconsin,All beverages,134.685,10.15014,3.192,31799,2.592,39159
1970,Wyoming,All beverages,7.719,0.623975,0.241,25891,0.195,31999
1971,Alabama,All beverages,43.434,3.88195,2.560385,15162,2.068321,18769
1971,Alaska,All beverages,7.947,0.84129,0.215277,39079,0.170598,49314
1971,Arizona,All beverages,48.11,3.835805,1.376038,27876,1.114048,34431
1971,Arkansas,All beverages,28.093,2.14393,1.467988,14605,1.206524,17769
1971,California,All beverages,491.216,48.379435,15.231436,31763,12.563372,38508
1971,Colorado,All beverages,54.335,4.925285,1.693618,29081,1.367905,36006
1971,Connecticut,All beverages,62.939,6.398645,2.279133,28075,1.894979,33766
1971,Delaware,All beverages,13.131,1.29985,0.410808,31641,0.333058,39028
1971,District of Columbia,All beverages,26.592,3.886095,0.580669,66924,0.48696,79803
1971,Florida,All beverages,172.933,16.524665,5.49334,30081,4.624502,35733
1971,Georgia,All beverages,75.7,7.024565,3.423114,20521,2.770797,25352
1971,Hawaii,All beverages,17.256999999999998,1.415745,0.582518,24304,0.470301,30103
1971,Idaho,All beverages,16.656,1.217315,0.535331,22739,0.427904,28448
1971,Illinois,All beverages,266.322,24.172375,8.294983,29141,6.838832,35346
1971,Indiana,All beverages,94.943,7.00071,3.84503,18207,3.126082,22395
1971,Iowa,All beverages,56.194,3.98946,2.114128,18870,1.728873,23075
1971,Kansas,All beverages,37.324,2.85597,1.69263,16873,1.38316,20648
1971,Kentucky,All beverages,58.319,4.687615,2.438236,19225,1.978745,23690
1971,Louisiana,All beverages,79.86200000000001,6.52824,2.643998,24691,2.102001,31057
1971,Maine,All beverages,24.723,1.99549,0.749278,26632,0.614613,32467
1971,Maryland,All beverages,98.402,8.82527,2.940868,30009,2.40921,36631
1971,Massachusetts,All beverages,133.25,12.45316,4.302486,28944,3.559538,34985
1971,Michigan,All beverages,221.948,17.50742,6.49896,26939,5.238275,33422
1971,Minnesota,All beverages,83.39699999999999,7.424595,2.800251,26514,2.265237,32776
1971,Mississippi,All beverages,36.267,2.83454,1.618613,17512,1.282579,22100
1971,Missouri,All beverages,100.813,8.022425,3.544936,22631,2.924758,27429
1971,Montana,All beverages,19.634,1.42884,0.519812,27488,0.41843,34148
1971,Nebraska,All beverages,37.18,2.83372,1.118161,25343,0.913405,31024
1971,Nevada,All beverages,18.865000000000002,2.13192,0.380827,55981,0.317556,67135
1971,New Hampshire,All beverages,27.413,2.9432,0.559435,52610,0.461866,63724
1971,New Jersey,All beverages,170.73499999999999,15.98957,5.440722,29389,4.545133,35180
1971,New Mexico,All beverages,23.902,1.896945,0.737485,25722,0.580886,32656
1971,New York,All beverages,439.494,41.75632,13.872367,30100,11.629941,35904
1971,North Carolina,All beverages,78.586,7.196315,3.85155,18684,3.103016,23191
1971,North Dakota,All beverages,14.258,1.116885,0.458709,24348,0.365542,30554
1971,Ohio,All beverages,234.43599999999998,17.495575,7.903561,22136,6.448795,27130
1971,Oklahoma,All beverages,40.631,3.49676,1.97841,17675,1.628378,21474
1971,Oregon,All beverages,51.262,4.157165,1.621675,25635,1.330941,31235
1971,Pennsylvania,All beverages,282.053,20.79344,8.99754,23110,7.462206,27865
1971,Rhode Island,All beverages,24.651,2.11697,0.731584,28937,0.605244,34977
1971,South Carolina,All beverages,43.521,4.13692,1.933334,21398,1.52703,27091
1971,South Dakota,All beverages,12.236,1.037835,0.493861,21015,0.394462,26310
1971,Tennessee,All beverages,68.078,4.89192,2.994737,16335,2.453005,19943
1971,Texas,All beverages,276.976,19.157965,8.393263,22825,6.791207,28210
1971,Utah,All beverages,14.654,1.139485,0.766903,14858,0.594783,19158
1971,Vermont,All beverages,13.397,1.254095,0.331711,37807,0.269164,46592
1971,Virginia,All beverages,94.44200000000001,8.036675,3.519914,22832,2.864136,28060
1971,Washington,All beverages,83.04599999999999,6.993145,2.567834,27234,2.096931,33349
1971,West Virginia,All beverages,29.217,2.304445,1.335677,17253,1.095525,21035
1971,Wisconsin,All beverages,140.403,10.604105,3.255248,32575,2.638416,40191
1971,Wyoming,All beverages,8.254999999999999,0.66883,0.248688,26894,0.200571,33346
1972,Alabama,All beverages,49.013,4.17648,2.611541,15992,2.10974,19796
1972,Alaska,All beverages,7.644,0.7816,0.223908,34907,0.175638,44501
1972,Arizona,All beverages,54.949999999999996,4.199705,1.472335,28524,1.192052,35231
1972,Arkansas,All beverages,28.985,2.21114,1.51303,14614,1.244592,17766
1972,California,All beverages,520.221,48.899295,15.550186,31446,12.815357,38157
1972,Colorado,All beverages,60.230000000000004,5.19375,1.785786,29084,1.441422,36032
1972,Connecticut,All beverages,62.153999999999996,6.186575,2.308372,26801,1.914298,32318
1972,Delaware,All beverages,13.649999999999999,1.28948,0.422431,30525,0.34077,37840
1972,District of Columbia,All beverages,26.274,3.67954,0.581285,63300,0.487404,75493
1972,Florida,All beverages,192.59199999999998,17.750105,5.815639,30521,4.89337,36274
1972,Georgia,All beverages,82.568,7.586775,3.517422,21569,2.844566,26671
1972,Hawaii,All beverages,18.549,1.51519,0.608512,24900,0.489729,30939
1972,Idaho,All beverages,18.477,1.30883,0.557366,23482,0.445325,29390
1972,Illinois,All beverages,268.468,23.86347,8.408937,28379,6.923089,34469
1972,Indiana,All beverages,96.12,7.00405,3.915276,17889,3.179511,22029
1972,Iowa,All beverages,57.722,4.0342,2.139954,18852,1.751841,23028
1972,Kansas,All beverages,40.658,2.987595,1.715066,17420,1.400226,21337
1972,Kentucky,All beverages,60.47,4.697465,2.478842,18950,2.015493,23307
1972,Louisiana,All beverages,84.49900000000001,6.680685,2.704829,24699,2.154326,31011
1972,Maine,All beverages,25.355,1.94195,0.76943,25239,0.630605,30795
1972,Maryland,All beverages,99.689,8.88297,3.010494,29507,2.458657,36129
1972,Massachusetts,All beverages,137.861,12.531795,4.360121,28742,3.601477,34796
1972,Michigan,All beverages,229.973,17.8322,6.605696,26995,5.316067,33544
1972,Minnesota,All beverages,82.94200000000001,7.101465,2.843297,24976,2.298019,30903
1972,Mississippi,All beverages,38.833999999999996,2.985145,1.664185,17938,1.321658,22586
1972,Missouri,All beverages,102.525,8.033995,3.593991,22354,2.962419,27120
1972,Montana,All beverages,19.871,1.45157,0.531431,27314,0.427823,33929
1972,Nebraska,All beverages,35.925000000000004,2.73117,1.138152,23997,0.930358,29356
1972,Nevada,All beverages,20.997,2.349755,0.405253,57982,0.336578,69813
1972,New Hampshire,All beverages,28.514,3.027585,0.578174,52365,0.477977,63342
1972,New Jersey,All beverages,170.32,15.8058,5.526846,28598,4.607493,34305
1972,New Mexico,All beverages,26.811,2.05282,0.764279,26860,0.601122,34150
1972,New York,All beverages,436.10299999999995,39.30976,13.966964,28145,11.694089,33615
1972,North Carolina,All beverages,83.29599999999999,7.35931,3.954784,18609,3.194386,23038
1972,North Dakota,All beverages,14.905999999999999,1.18062,0.467762,25240,0.373103,31643
1972,Ohio,All beverages,234.136,17.169035,7.990359,21487,6.508237,26380
1972,Oklahoma,All beverages,43.796,3.52456,2.019542,17452,1.661954,21207
1972,Oregon,All beverages,54.432,4.31146,1.668577,25839,1.370872,31450
1972,Pennsylvania,All beverages,285.241,20.632565,9.094825,22686,7.53444,27384
