Year,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older
1970,4395.283,754.0044,149.396,50471,122.722,61440
1971,4597.432,791.30178,153.34706,51602,125.687741,62958
1972,4756.2300000000005,796.1929499999999,156.503574,50874,128.18764,62112
1973,4985.675,829.1928399999999,159.460299,52001,130.623102,63480
1974,5226.544,859.3408400000001,162.390186,52918,133.110083,64559
1975,5383.539,882.24821,165.424923,53332,135.74805,64992
1976,5479.721,895.47313,168.429779,53166,138.514051,64648
1977,5670.802,892.6414199999999,171.341543,52098,141.335304,63158
1978,5906.943,927.858138,174.266557,53244,144.339546,64284
1979,6162.23,955.496136,177.072927,53960,147.39789,64824
1980,6400.897,987.0506579999999,179.684333,54932,150.451789,65606
1981,6564.27,1004.856072,181.862066,55254,153.211633,65586
1982,6599.724,1000.4866440000001,183.909038,54401,155.988975,64138
1983,6623.854,1001.000448,185.965957,53828,158.599232,63116
1984,6600.757055,998.536004,188.067683,53094,161.112182,61978
1985,6616.5378089999995,997.626996,190.188994,52454,163.520489,61010
1986,6729.989719,992.97765,192.091826,51693,165.844428,59875
1987,6728.630503,986.494494,193.734532,50921,167.876217,58764
1988,6713.2376349999995,971.772702,195.275084,49764,169.752969,57246
1989,6655.780469,957.646144,196.898357,48636,171.567356,55818
1990,6806.893781999999,972.652272,198.735772,48942,173.651025,56012
1991,6576.525548,923.9764620000001,201.163781,45932,176.393468,52382
1992,6658.4349999999995,936.156378,203.787619,45937,179.259858,52224
1993,6597.5220150000005,919.5858840000001,206.429677,44547,181.744143,50597
1994,6577.8713720000005,912.33551,209.133071,43624,183.908685,49608
1995,6625.203466,912.9654459999999,211.828626,43100,186.002233,49083
1996,6700.494296000001,927.647099,214.612873,43224,188.17313,49298
1997,6755.676281,934.6995919999999,217.500826,42974,190.396559,49092
1998,6844.716502,945.525978,220.254922,42928,192.726452,49061
1999,6988.787275999999,967.859458,223.099823,43383,195.074714,49614
2000,7100.958395000001,989.245766,225.930423,43786,197.486329,50092
2001,7161.284882,996.444731,228.578068,43594,199.905689,49846
2002,7268.110503,1017.7673990000001,231.194672,44022,202.292897,50312
2003,7300.92836,1038.2138409999998,233.701167,44424,204.52524,50763
2004,7401.159372,1058.539136,236.561755,44747,206.919173,51158
2005,7443.178425,1078.350138,239.350769,45053,209.270142,51529
2006,7568.89086,1104.9577399999998,242.171653,45628,211.807399,52168
2007,7733.719413999999,1132.213225,244.809096,46248,214.239372,52848
2008,7768.285051999999,1143.609844,247.384676,46227,216.672714,52781
2009,7696.839314000001,1145.5831699999999,249.869828,45847,219.10751,52284
2010,7596.5998899999995,1142.7191,252.270877,45298,221.5762,51572
2011,7636.761675,1168.16335,254.542312,45892,224.154045,52114
2012,7807.755298,1202.616896,256.89582,46814,226.844072,53015
2013,7788.052325000001,1208.709073,259.137618,46644,229.358004,52700
2014,7753.510111,1216.0719519999998,261.56448,46492,231.866874,52446
2015,7796.165364,1228.190026,263.925279,46536,234.309833,52418
2016,7853.689039,1253.009828,266.191088,47072,236.679399,52941
2017,7806.238501,1259.289512,268.308621,46934,238.814105,52730
2018,7803.243947,1273.7946029999998,270.449061,47099,240.910947,52874
