,State,Year,Beer (Ethanol Gallons Per Capita),Wine (Ethanol Gallons Per Capita),Spirit (Ethanol Gallons Per Capita),All Drinks (Ethanol Gallons Per Capita),Number of Beers,Number of Glasses of Wine,Number of Shots Liquor,Total Number of Drinks
0,midwest region,1977,1.32,0.21,0.96,2.49,312.8888889,41.674418599999996,199.31873480000002,531.2
1,midwest region,1978,1.35,0.22,0.95,2.52,320.0,43.65891473,197.242498,537.6
2,midwest region,1979,1.4,0.23,0.95,2.58,331.8518519,45.64341085,197.242498,550.4
3,midwest region,1980,1.42,0.24,0.96,2.63,336.59259260000005,47.62790698,199.31873480000002,561.0666667
4,midwest region,1981,1.42,0.26,0.93,2.61,336.59259260000005,51.59689922,193.0900243,556.8
5,midwest region,1982,1.42,0.27,0.88,2.57,336.59259260000005,53.58139535,182.70884019999997,548.2666667000001
6,midwest region,1983,1.42,0.25,0.87,2.54,336.59259260000005,49.6124031,180.6326034,541.8666667
7,midwest region,1984,1.4,0.27,0.84,2.52,331.8518519,53.58139535,174.4038929,537.6
8,midwest region,1985,1.37,0.28,0.84,2.49,324.74074069999995,55.56589147,174.4038929,531.2
9,midwest region,1986,1.38,0.3,0.78,2.46,327.1111111,59.53488372,161.946472,524.8
10,midwest region,1987,1.38,0.3,0.77,2.45,327.1111111,59.53488372,159.8702352,522.6666667
11,midwest region,1988,1.38,0.29,0.75,2.41,327.1111111,57.55038760000001,155.7177616,514.1333333
12,midwest region,1989,1.36,0.26,0.72,2.35,322.3703704,51.59689922,149.48905109999998,501.33333330000005
13,midwest region,1990,1.38,0.26,0.74,2.37,327.1111111,51.59689922,153.6415247,505.6
14,midwest region,1991,1.35,0.23,0.67,2.25,320.0,45.64341085,139.107867,480.0
15,midwest region,1992,1.31,0.23,0.68,2.21,310.5185185,45.64341085,141.18410380000003,471.46666669999996
16,midwest region,1993,1.3,0.22,0.67,2.18,308.1481481,43.65891473,139.107867,465.0666666999999
17,midwest region,1994,1.3,0.22,0.63,2.14,308.1481481,43.65891473,130.8029197,456.53333330000004
18,midwest region,1995,1.29,0.22,0.62,2.12,305.77777779999997,43.65891473,128.72668290000001,452.2666666999999
19,midwest region,1996,1.28,0.23,0.62,2.12,303.40740739999995,45.64341085,128.72668290000001,452.2666666999999
20,midwest region,1997,1.26,0.23,0.62,2.11,298.6666667,45.64341085,128.72668290000001,450.13333330000006
21,midwest region,1998,1.28,0.23,0.63,2.14,303.40740739999995,45.64341085,130.8029197,456.53333330000004
22,midwest region,1999,1.29,0.24,0.63,2.15,305.77777779999997,47.62790698,130.8029197,458.66666669999995
23,midwest region,2000,1.29,0.24,0.63,2.16,305.77777779999997,47.62790698,130.8029197,460.8
24,midwest region,2001,1.29,0.23,0.65,2.17,305.77777779999997,45.64341085,134.95539330000003,462.9333333000001
25,midwest region,2002,1.3,0.25,0.64,2.19,308.1481481,49.6124031,132.8791565,467.2
26,midwest region,2003,1.28,0.26,0.68,2.23,303.40740739999995,51.59689922,141.18410380000003,475.7333333000001
27,midwest region,2004,1.28,0.26,0.68,2.22,303.40740739999995,51.59689922,141.18410380000003,473.6
28,midwest region,2005,1.27,0.27,0.71,2.25,301.037037,53.58139535,147.4128143,480.0
29,midwest region,2006,1.27,0.28,0.72,2.27,301.037037,55.56589147,149.48905109999998,484.2666666999999
30,midwest region,2007,1.28,0.3,0.74,2.32,303.40740739999995,59.53488372,153.6415247,494.9333333000001
31,midwest region,2008,1.27,0.29,0.76,2.33,301.037037,57.55038760000001,157.79399840000002,497.0666666999999
32,midwest region,2009,1.25,0.3,0.76,2.32,296.2962963,59.53488372,157.79399840000002,494.9333333000001
33,midwest region,2010,1.23,0.3,0.77,2.3,291.55555560000005,59.53488372,159.8702352,490.66666669999995
34,midwest region,2011,1.2,0.32,0.79,2.31,284.44444439999995,63.50387597,164.02270880000003,492.8
35,midwest region,2012,1.2,0.33,0.82,2.35,284.44444439999995,65.48837209,170.2514193,501.33333330000005
36,midwest region,2013,1.17,0.34,0.83,2.34,277.3333333,67.47286822,172.3276561,499.2
37,midwest region,2014,1.16,0.34,0.84,2.35,274.962963,67.47286822,174.4038929,501.33333330000005
38,midwest region,2015,1.15,0.35,0.86,2.36,272.59259260000005,69.45736434,178.5563666,503.46666669999996
39,midwest region,2016,1.14,0.35,0.87,2.37,270.22222220000003,69.45736434,180.6326034,505.6
40,midwest region,2017,1.12,0.36,0.9,2.38,265.4814815,71.44186047,186.8613139,507.7333333000001
41,midwest region,2018,1.1,0.36,0.91,2.37,260.74074069999995,71.44186047,188.9375507,505.6
42,northeast region,1977,1.25,0.34,1.1,2.69,296.2962963,67.47286822,228.3860503,573.8666667
43,northeast region,1978,1.26,0.36,1.1,2.73,298.6666667,71.44186047,228.3860503,582.4
44,northeast region,1979,1.29,0.38,1.09,2.76,305.77777779999997,75.41085271,226.3098135,588.8
45,northeast region,1980,1.33,0.4,1.09,2.83,315.25925930000005,79.37984496,226.3098135,603.7333332999999
46,northeast region,1981,1.31,0.42,1.07,2.8,310.5185185,83.34883721,222.15733980000002,597.3333332999999
47,northeast region,1982,1.31,0.43,1.06,2.8,310.5185185,85.33333333,220.08110299999998,597.3333332999999
48,northeast region,1983,1.31,0.43,1.03,2.76,310.5185185,85.33333333,213.85239249999998,588.8
49,northeast region,1984,1.25,0.43,1.01,2.7,296.2962963,85.33333333,209.6999189,576.0
50,northeast region,1985,1.25,0.43,0.98,2.66,296.2962963,85.33333333,203.4712084,567.4666667
51,northeast region,1986,1.24,0.44,0.93,2.62,293.9259259,87.31782946,193.0900243,558.9333333
52,northeast region,1987,1.25,0.43,0.91,2.59,296.2962963,85.33333333,188.9375507,552.5333333
53,northeast region,1988,1.25,0.4,0.86,2.51,296.2962963,79.37984496,178.5563666,535.4666666999999
54,northeast region,1989,1.22,0.39,0.84,2.44,289.1851852,77.39534884,174.4038929,520.5333333000001
55,northeast region,1990,1.23,0.38,0.8,2.41,291.55555560000005,75.41085271,166.0989457,514.1333333
56,northeast region,1991,1.19,0.34,0.73,2.26,282.0740741,67.47286822,151.5652879,482.13333330000006
57,northeast region,1992,1.14,0.35,0.72,2.21,270.22222220000003,69.45736434,149.48905109999998,471.46666669999996
58,northeast region,1993,1.13,0.34,0.68,2.15,267.8518519,67.47286822,141.18410380000003,458.66666669999995
59,northeast region,1994,1.11,0.34,0.67,2.12,263.1111111,67.47286822,139.107867,452.2666666999999
60,northeast region,1995,1.11,0.35,0.64,2.11,263.1111111,69.45736434,132.8791565,450.13333330000006
61,northeast region,1996,1.07,0.35,0.64,2.06,253.62962960000002,69.45736434,132.8791565,439.46666669999996
62,northeast region,1997,1.07,0.36,0.63,2.06,253.62962960000002,71.44186047,130.8029197,439.46666669999996
63,northeast region,1998,1.07,0.37,0.61,2.05,253.62962960000002,73.42635659,126.6504461,437.33333330000005
64,northeast region,1999,1.07,0.38,0.63,2.08,253.62962960000002,75.41085271,130.8029197,443.7333333000001
65,northeast region,2000,1.08,0.38,0.66,2.12,256.0,75.41085271,137.0316302,452.2666666999999
