,State,Year,Beer (Ethanol Gallons Per Capita),Wine (Ethanol Gallons Per Capita),Spirit (Ethanol Gallons Per Capita),All Drinks (Ethanol Gallons Per Capita),Number of Beers,Number of Glasses of Wine,Number of Shots Liquor,Total Number of Drinks
0,alabama,1977,0.97,0.12,0.82,1.92,229.9259259,23.81395349,170.2514193,409.6
1,alabama,1978,0.95,0.12,0.85,1.92,225.1851852,23.81395349,176.48012980000001,409.6
2,alabama,1979,0.96,0.12,0.82,1.9,227.5555556,23.81395349,170.2514193,405.3333333
3,alabama,1980,0.95,0.16,0.74,1.86,225.1851852,31.75193798,153.6415247,396.8
4,alabama,1981,1.0,0.19,0.73,1.91,237.037037,37.70542636,151.5652879,407.46666669999996
5,alabama,1982,1.0,0.18,0.72,1.9,237.037037,35.72093023,149.48905109999998,405.3333333
6,alabama,1983,1.01,0.17,0.72,1.9,239.4074074,33.73643411,149.48905109999998,405.3333333
7,alabama,1984,1.03,0.19,0.69,1.91,244.14814810000001,37.70542636,143.2603406,407.46666669999996
8,alabama,1985,1.07,0.17,0.67,1.92,253.62962960000002,33.73643411,139.107867,409.6
9,alabama,1986,1.1,0.18,0.65,1.92,260.74074069999995,35.72093023,134.95539330000003,409.6
10,alabama,1987,1.11,0.18,0.62,1.91,263.1111111,35.72093023,128.72668290000001,407.46666669999996
11,alabama,1988,1.12,0.19,0.62,1.92,265.4814815,37.70542636,128.72668290000001,409.6
12,alabama,1989,1.12,0.17,0.61,1.9,265.4814815,33.73643411,126.6504461,405.3333333
13,alabama,1990,1.12,0.18,0.61,1.92,265.4814815,35.72093023,126.6504461,409.6
14,alabama,1991,1.0,0.17,0.59,1.76,237.037037,33.73643411,122.49797240000002,375.46666669999996
15,alabama,1992,1.02,0.19,0.59,1.79,241.7777778,37.70542636,122.49797240000002,381.8666667
16,alabama,1993,1.14,0.17,0.56,1.86,270.22222220000003,33.73643411,116.26926200000001,396.8
17,alabama,1994,1.16,0.17,0.54,1.87,274.962963,33.73643411,112.1167883,398.9333333
18,alabama,1995,1.14,0.16,0.53,1.82,270.22222220000003,31.75193798,110.04055149999999,388.2666667
19,alabama,1996,1.17,0.18,0.53,1.88,277.3333333,35.72093023,110.04055149999999,401.0666667
20,alabama,1997,1.14,0.16,0.52,1.82,270.22222220000003,31.75193798,107.96431470000002,388.2666667
21,alabama,1998,1.16,0.17,0.51,1.85,274.962963,33.73643411,105.88807790000001,394.6666667
22,alabama,1999,1.18,0.17,0.51,1.87,279.7037037,33.73643411,105.88807790000001,398.9333333
23,alabama,2000,1.19,0.18,0.51,1.88,282.0740741,35.72093023,105.88807790000001,401.0666667
24,alabama,2001,1.16,0.17,0.53,1.86,274.962963,33.73643411,110.04055149999999,396.8
25,alabama,2002,1.18,0.21,0.54,1.92,279.7037037,41.674418599999996,112.1167883,409.6
26,alabama,2003,1.19,0.19,0.52,1.9,282.0740741,37.70542636,107.96431470000002,405.3333333
27,alabama,2004,1.19,0.2,0.52,1.91,282.0740741,39.68992248,107.96431470000002,407.46666669999996
28,alabama,2005,1.18,0.2,0.53,1.91,279.7037037,39.68992248,110.04055149999999,407.46666669999996
29,alabama,2006,1.21,0.21,0.54,1.95,286.8148148,41.674418599999996,112.1167883,416.0
30,alabama,2007,1.23,0.22,0.55,2.0,291.55555560000005,43.65891473,114.1930251,426.66666669999995
31,alabama,2008,1.22,0.22,0.57,2.01,289.1851852,43.65891473,118.34549879999999,428.8
32,alabama,2009,1.19,0.22,0.57,1.98,282.0740741,43.65891473,118.34549879999999,422.4
33,alabama,2010,1.17,0.23,0.58,1.98,277.3333333,45.64341085,120.42173559999999,422.4
34,alabama,2011,1.16,0.24,0.59,1.98,274.962963,47.62790698,122.49797240000002,422.4
35,alabama,2012,1.16,0.24,0.6,2.0,274.962963,47.62790698,124.5742092,426.66666669999995
36,alabama,2013,1.14,0.25,0.6,1.99,270.22222220000003,49.6124031,124.5742092,424.53333330000004
37,alabama,2014,1.13,0.25,0.62,2.0,267.8518519,49.6124031,128.72668290000001,426.66666669999995
38,alabama,2015,1.11,0.26,0.64,2.01,263.1111111,51.59689922,132.8791565,428.8
39,alabama,2016,1.09,0.26,0.65,2.01,258.3703704,51.59689922,134.95539330000003,428.8
40,alabama,2017,1.07,0.26,0.67,1.99,253.62962960000002,51.59689922,139.107867,424.53333330000004
41,alabama,2018,1.04,0.26,0.69,1.99,246.5185185,51.59689922,143.2603406,424.53333330000004
42,alaska,1977,1.19,0.42,1.69,3.3,282.0740741,83.34883721,350.8840227,704.0
43,alaska,1978,1.39,0.45,1.67,3.51,329.4814815,89.30232558,346.73154910000005,748.8
44,alaska,1979,1.48,0.46,1.63,3.58,350.8148148,91.28682171,338.4266018,763.7333332999999
45,alaska,1980,1.54,0.5,1.68,3.72,365.037037,99.2248062,348.8077859,793.6
46,alaska,1981,1.68,0.56,1.79,4.02,398.22222220000003,111.13178290000002,371.6463909,857.6
47,alaska,1982,1.69,0.54,1.68,3.92,400.59259260000005,107.16279070000002,348.8077859,836.2666667000001
48,alaska,1983,1.71,0.59,1.65,3.95,405.3333333,117.0852713,342.57907539999997,842.6666667000002
49,alaska,1984,1.67,0.56,1.5,3.72,395.8518519,111.13178290000002,311.4355231,793.6
50,alaska,1985,1.63,0.56,1.48,3.68,386.3703704,111.13178290000002,307.2830495,785.0666667
51,alaska,1986,1.65,0.55,1.25,3.45,391.1111111,109.1472868,259.52960260000003,736.0
52,alaska,1987,1.6,0.52,1.26,3.38,379.25925930000005,103.1937984,261.6058394,721.0666667
53,alaska,1988,1.54,0.47,1.19,3.21,365.037037,93.27131783,247.0721817,684.8
54,alaska,1989,1.52,0.44,1.19,3.15,360.2962963,87.31782946,247.0721817,672.0
55,alaska,1990,1.62,0.46,1.25,3.33,384.0,91.28682171,259.52960260000003,710.4
56,alaska,1991,1.54,0.43,1.14,3.11,365.037037,85.33333333,236.69099759999997,663.4666667
57,alaska,1992,1.53,0.41,1.08,3.02,362.6666667,81.36434109,224.2335766,644.2666667000001
58,alaska,1993,1.31,0.32,0.92,2.55,310.5185185,63.50387597,191.0137875,544.0
59,alaska,1994,1.53,0.4,1.1,3.03,362.6666667,79.37984496,228.3860503,646.4
60,alaska,1995,1.45,0.39,1.02,2.86,343.7037037,77.39534884,211.7761557,610.1333333
61,alaska,1996,1.31,0.38,0.94,2.63,310.5185185,75.41085271,195.1662612,561.0666667
62,alaska,1997,1.31,0.36,0.88,2.56,310.5185185,71.44186047,182.70884019999997,546.1333333
63,alaska,1998,1.39,0.37,0.95,2.71,329.4814815,73.42635659,197.242498,578.1333333
64,alaska,1999,1.4,0.38,0.95,2.74,331.8518519,75.41085271,197.242498,584.5333333
65,alaska,2000,1.37,0.37,0.94,2.68,324.74074069999995,73.42635659,195.1662612,571.7333332999999
66,alaska,2001,1.32,0.38,0.96,2.67,312.8888889,75.41085271,199.31873480000002,569.6
67,alaska,2002,1.35,0.45,1.19,2.99,320.0,89.30232558,247.0721817,637.8666667
68,alaska,2003,1.27,0.37,0.79,2.43,301.037037,73.42635659,164.02270880000003,518.4
69,alaska,2004,1.31,0.44,0.95,2.71,310.5185185,87.31782946,197.242498,578.1333333
70,alaska,2005,1.23,0.43,0.98,2.64,291.55555560000005,85.33333333,203.4712084,563.2
71,alaska,2006,1.25,0.47,1.03,2.75,296.2962963,93.27131783,213.85239249999998,586.6666667000001
72,alaska,2007,1.13,0.44,0.96,2.53,267.8518519,87.31782946,199.31873480000002,539.7333332999999
73,alaska,2008,1.2,0.49,1.09,2.78,284.44444439999995,97.24031008,226.3098135,593.0666667
74,alaska,2009,1.32,0.54,1.16,3.02,312.8888889,107.16279070000002,240.84347119999998,644.2666667000001
75,alaska,2010,1.23,0.55,1.25,3.03,291.55555560000005,109.1472868,259.52960260000003,646.4
76,alaska,2011,1.15,0.54,1.17,2.86,272.59259260000005,107.16279070000002,242.919708,610.1333333
77,alaska,2012,1.17,0.53,1.13,2.83,277.3333333,105.1782946,234.61476069999998,603.7333332999999
78,alaska,2013,1.07,0.52,1.17,2.75,253.62962960000002,103.1937984,242.919708,586.6666667000001
79,alaska,2014,1.11,0.52,1.17,2.8,263.1111111,103.1937984,242.919708,597.3333332999999
80,alaska,2015,1.11,0.53,1.2,2.84,263.1111111,105.1782946,249.14841850000002,605.8666667
81,alaska,2016,1.15,0.56,1.23,2.94,272.59259260000005,111.13178290000002,255.377129,627.2
82,alaska,2017,1.06,0.53,1.22,2.81,251.25925930000002,105.1782946,253.3008921,599.4666667
83,alaska,2018,1.06,0.53,1.25,2.85,251.25925930000002,105.1782946,259.52960260000003,608.0
