Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Age,Age Code,Population
,Alabama,1,2010,2010,14 years,14,63343
,Alabama,1,2010,2010,15 years,15,64836
,Alabama,1,2010,2010,16 years,16,66537
,Alabama,1,2010,2010,17 years,17,67437
,Alabama,1,2010,2010,18 years,18,69413
,Alabama,1,2010,2010,19 years,19,72598
,Alabama,1,2010,2010,20 years,20,73131
,Alabama,1,2010,2010,21 years,21,69310
,Alabama,1,2010,2010,22 years,22,66645
,Alabama,1,2010,2010,23 years,23,64905
,Alabama,1,2010,2010,24 years,24,63753
,Alabama,1,2010,2010,25 years,25,63497
,Alabama,1,2010,2010,26 years,26,61384
,Alabama,1,2010,2010,27 years,27,61947
,Alabama,1,2010,2010,28 years,28,61936
,Alabama,1,2010,2010,29 years,29,62354
,Alabama,1,2010,2010,30 years,30,63842
,Alabama,1,2010,2010,31 years,31,60135
,Alabama,1,2010,2010,32 years,32,59291
,Alabama,1,2010,2010,33 years,33,59113
,Alabama,1,2010,2010,34 years,34,57039
,Alabama,1,2010,2010,35 years,35,59255
,Alabama,1,2010,2010,36 years,36,58275
,Alabama,1,2010,2010,37 years,37,59807
,Alabama,1,2010,2010,38 years,38,62999
,Alabama,1,2010,2010,39 years,39,66255
,Alabama,1,2010,2010,40 years,40,65377
,Alabama,1,2010,2010,41 years,41,61902
,Alabama,1,2010,2010,42 years,42,60404
,Alabama,1,2010,2010,43 years,43,60827
,Alabama,1,2010,2010,44 years,44,63080
,Alabama,1,2010,2010,45 years,45,67567
,Alabama,1,2010,2010,46 years,46,68839
,Alabama,1,2010,2010,47 years,47,68908
,Alabama,1,2010,2010,48 years,48,69583
,Alabama,1,2010,2010,49 years,49,70537
,Alabama,1,2010,2010,50 years,50,71088
,Alabama,1,2010,2010,51 years,51,69342
,Alabama,1,2010,2010,52 years,52,69607
,Alabama,1,2010,2010,53 years,53,70047
,Alabama,1,2010,2010,54 years,54,67828
,Alabama,1,2010,2010,55 years,55,67084
,Alabama,1,2010,2010,56 years,56,65070
,Alabama,1,2010,2010,57 years,57,62252
,Alabama,1,2010,2010,58 years,58,60671
,Alabama,1,2010,2010,59 years,59,58963
,Alabama,1,2010,2010,60 years,60,58303
,Alabama,1,2010,2010,61 years,61,57694
,Alabama,1,2010,2010,62 years,62,57697
,Alabama,1,2010,2010,63 years,63,60057
,Alabama,1,2010,2010,64 years,64,44549
,Alabama,1,2010,2010,65 years,65,44662
,Alabama,1,2010,2010,66 years,66,44160
,Alabama,1,2010,2010,67 years,67,45582
,Alabama,1,2010,2010,68 years,68,39578
,Alabama,1,2010,2010,69 years,69,36725
,Alabama,1,2010,2010,70 years,70,35668
,Alabama,1,2010,2010,71 years,71,33836
,Alabama,1,2010,2010,72 years,72,32717
,Alabama,1,2010,2010,73 years,73,30136
,Alabama,1,2010,2010,74 years,74,29199
,Alabama,1,2010,2010,75 years,75,28200
,Alabama,1,2010,2010,76 years,76,25383
,Alabama,1,2010,2010,77 years,77,24299
,Alabama,1,2010,2010,78 years,78,23300
,Alabama,1,2010,2010,79 years,79,21954
,Alabama,1,2010,2010,80 years,80,21038
,Alabama,1,2010,2010,81 years,81,19011
,Alabama,1,2010,2010,82 years,82,17979
,Alabama,1,2010,2010,83 years,83,16523
,Alabama,1,2010,2010,84 years,84,14651
,Alabama,1,2010,2010,85+ years,85+,76243
,Alabama,1,2011,2011,14 years,14,63562
,Alabama,1,2011,2011,15 years,15,63385
,Alabama,1,2011,2011,16 years,16,64848
,Alabama,1,2011,2011,17 years,17,66559
,Alabama,1,2011,2011,18 years,18,66015
,Alabama,1,2011,2011,19 years,19,69034
,Alabama,1,2011,2011,20 years,20,72902
,Alabama,1,2011,2011,21 years,21,73370
,Alabama,1,2011,2011,22 years,22,69597
,Alabama,1,2011,2011,23 years,23,66691
,Alabama,1,2011,2011,24 years,24,64036
,Alabama,1,2011,2011,25 years,25,62989
,Alabama,1,2011,2011,26 years,26,62923
,Alabama,1,2011,2011,27 years,27,60844
,Alabama,1,2011,2011,28 years,28,61544
,Alabama,1,2011,2011,29 years,29,61759
,Alabama,1,2011,2011,30 years,30,62288
,Alabama,1,2011,2011,31 years,31,63672
,Alabama,1,2011,2011,32 years,32,60017
,Alabama,1,2011,2011,33 years,33,59202
,Alabama,1,2011,2011,34 years,34,59084
,Alabama,1,2011,2011,35 years,35,56764
,Alabama,1,2011,2011,36 years,36,59107
,Alabama,1,2011,2011,37 years,37,57922
,Alabama,1,2011,2011,38 years,38,59868
,Alabama,1,2011,2011,39 years,39,62738
,Alabama,1,2011,2011,40 years,40,66209
,Alabama,1,2011,2011,41 years,41,65451
,Alabama,1,2011,2011,42 years,42,61680
,Alabama,1,2011,2011,43 years,43,60349
,Alabama,1,2011,2011,44 years,44,60767
,Alabama,1,2011,2011,45 years,45,62700
,Alabama,1,2011,2011,46 years,46,67585
,Alabama,1,2011,2011,47 years,47,68653
,Alabama,1,2011,2011,48 years,48,68731
,Alabama,1,2011,2011,49 years,49,69476
,Alabama,1,2011,2011,50 years,50,70162
,Alabama,1,2011,2011,51 years,51,70928
,Alabama,1,2011,2011,52 years,52,69139
,Alabama,1,2011,2011,53 years,53,69161
,Alabama,1,2011,2011,54 years,54,69644
,Alabama,1,2011,2011,55 years,55,67387
,Alabama,1,2011,2011,56 years,56,66714
,Alabama,1,2011,2011,57 years,57,64517
,Alabama,1,2011,2011,58 years,58,61834
,Alabama,1,2011,2011,59 years,59,60051
,Alabama,1,2011,2011,60 years,60,58416
,Alabama,1,2011,2011,61 years,61,57749
,Alabama,1,2011,2011,62 years,62,57133
,Alabama,1,2011,2011,63 years,63,57094
,Alabama,1,2011,2011,64 years,64,59329
,Alabama,1,2011,2011,65 years,65,43907
,Alabama,1,2011,2011,66 years,66,44047
,Alabama,1,2011,2011,67 years,67,43351
,Alabama,1,2011,2011,68 years,68,44673
,Alabama,1,2011,2011,69 years,69,38765
,Alabama,1,2011,2011,70 years,70,35968
,Alabama,1,2011,2011,71 years,71,34791
,Alabama,1,2011,2011,72 years,72,32952
,Alabama,1,2011,2011,73 years,73,31721
,Alabama,1,2011,2011,74 years,74,29143
,Alabama,1,2011,2011,75 years,75,28204
,Alabama,1,2011,2011,76 years,76,27124
,Alabama,1,2011,2011,77 years,77,24347
,Alabama,1,2011,2011,78 years,78,23193
,Alabama,1,2011,2011,79 years,79,21947
,Alabama,1,2011,2011,80 years,80,20743
,Alabama,1,2011,2011,81 years,81,19843
,Alabama,1,2011,2011,82 years,82,17643
,Alabama,1,2011,2011,83 years,83,16630
,Alabama,1,2011,2011,84 years,84,15178
,Alabama,1,2011,2011,85+ years,85+,77847
,Alabama,1,2012,2012,14 years,14,64322
,Alabama,1,2012,2012,15 years,15,63728
,Alabama,1,2012,2012,16 years,16,63463
,Alabama,1,2012,2012,17 years,17,64817
,Alabama,1,2012,2012,18 years,18,65245
,Alabama,1,2012,2012,19 years,19,66535
,Alabama,1,2012,2012,20 years,20,70030
,Alabama,1,2012,2012,21 years,21,73715
,Alabama,1,2012,2012,22 years,22,74216
,Alabama,1,2012,2012,23 years,23,69965
,Alabama,1,2012,2012,24 years,24,65618
,Alabama,1,2012,2012,25 years,25,62965
,Alabama,1,2012,2012,26 years,26,62352
,Alabama,1,2012,2012,27 years,27,62650
,Alabama,1,2012,2012,28 years,28,60641
,Alabama,1,2012,2012,29 years,29,61238
,Alabama,1,2012,2012,30 years,30,61935
,Alabama,1,2012,2012,31 years,31,62084
