"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age"	"Age Code"	Population
	"Alabama"	"01"	"2000"	"2000"	"14 years"	"14"	63845
	"Alabama"	"01"	"2000"	"2000"	"15 years"	"15"	64606
	"Alabama"	"01"	"2000"	"2000"	"16 years"	"16"	63734
	"Alabama"	"01"	"2000"	"2000"	"17 years"	"17"	64198
	"Alabama"	"01"	"2000"	"2000"	"18 years"	"18"	65305
	"Alabama"	"01"	"2000"	"2000"	"19 years"	"19"	67769
	"Alabama"	"01"	"2000"	"2000"	"20 years"	"20"	67478
	"Alabama"	"01"	"2000"	"2000"	"21 years"	"21"	64005
	"Alabama"	"01"	"2000"	"2000"	"22 years"	"22"	61364
	"Alabama"	"01"	"2000"	"2000"	"23 years"	"23"	59815
	"Alabama"	"01"	"2000"	"2000"	"24 years"	"24"	56508
	"Alabama"	"01"	"2000"	"2000"	"25 years"	"25"	58225
	"Alabama"	"01"	"2000"	"2000"	"26 years"	"26"	57046
	"Alabama"	"01"	"2000"	"2000"	"27 years"	"27"	58418
	"Alabama"	"01"	"2000"	"2000"	"28 years"	"28"	61063
	"Alabama"	"01"	"2000"	"2000"	"29 years"	"29"	63927
	"Alabama"	"01"	"2000"	"2000"	"30 years"	"30"	63251
	"Alabama"	"01"	"2000"	"2000"	"31 years"	"31"	59671
	"Alabama"	"01"	"2000"	"2000"	"32 years"	"32"	57807
	"Alabama"	"01"	"2000"	"2000"	"33 years"	"33"	58766
	"Alabama"	"01"	"2000"	"2000"	"34 years"	"34"	61684
	"Alabama"	"01"	"2000"	"2000"	"35 years"	"35"	66467
	"Alabama"	"01"	"2000"	"2000"	"36 years"	"36"	67455
	"Alabama"	"01"	"2000"	"2000"	"37 years"	"37"	67378
	"Alabama"	"01"	"2000"	"2000"	"38 years"	"38"	68167
	"Alabama"	"01"	"2000"	"2000"	"39 years"	"39"	69226
	"Alabama"	"01"	"2000"	"2000"	"40 years"	"40"	70418
	"Alabama"	"01"	"2000"	"2000"	"41 years"	"41"	68864
	"Alabama"	"01"	"2000"	"2000"	"42 years"	"42"	69557
	"Alabama"	"01"	"2000"	"2000"	"43 years"	"43"	69906
	"Alabama"	"01"	"2000"	"2000"	"44 years"	"44"	67075
	"Alabama"	"01"	"2000"	"2000"	"45 years"	"45"	67468
	"Alabama"	"01"	"2000"	"2000"	"46 years"	"46"	65385
	"Alabama"	"01"	"2000"	"2000"	"47 years"	"47"	62718
	"Alabama"	"01"	"2000"	"2000"	"48 years"	"48"	61270
	"Alabama"	"01"	"2000"	"2000"	"49 years"	"49"	59975
	"Alabama"	"01"	"2000"	"2000"	"50 years"	"50"	60701
	"Alabama"	"01"	"2000"	"2000"	"51 years"	"51"	59715
	"Alabama"	"01"	"2000"	"2000"	"52 years"	"52"	59262
	"Alabama"	"01"	"2000"	"2000"	"53 years"	"53"	61544
	"Alabama"	"01"	"2000"	"2000"	"54 years"	"54"	46726
	"Alabama"	"01"	"2000"	"2000"	"55 years"	"55"	46948
	"Alabama"	"01"	"2000"	"2000"	"56 years"	"56"	47247
	"Alabama"	"01"	"2000"	"2000"	"57 years"	"57"	48602
	"Alabama"	"01"	"2000"	"2000"	"58 years"	"58"	43012
	"Alabama"	"01"	"2000"	"2000"	"59 years"	"59"	40952
	"Alabama"	"01"	"2000"	"2000"	"60 years"	"60"	40697
	"Alabama"	"01"	"2000"	"2000"	"61 years"	"61"	38628
	"Alabama"	"01"	"2000"	"2000"	"62 years"	"62"	38834
	"Alabama"	"01"	"2000"	"2000"	"63 years"	"63"	36384
	"Alabama"	"01"	"2000"	"2000"	"64 years"	"64"	36337
	"Alabama"	"01"	"2000"	"2000"	"65 years"	"65"	36467
	"Alabama"	"01"	"2000"	"2000"	"66 years"	"66"	33413
	"Alabama"	"01"	"2000"	"2000"	"67 years"	"67"	33316
	"Alabama"	"01"	"2000"	"2000"	"68 years"	"68"	32798
	"Alabama"	"01"	"2000"	"2000"	"69 years"	"69"	31841
	"Alabama"	"01"	"2000"	"2000"	"70 years"	"70"	31946
	"Alabama"	"01"	"2000"	"2000"	"71 years"	"71"	29975
	"Alabama"	"01"	"2000"	"2000"	"72 years"	"72"	30308
	"Alabama"	"01"	"2000"	"2000"	"73 years"	"73"	29237
	"Alabama"	"01"	"2000"	"2000"	"74 years"	"74"	27339
	"Alabama"	"01"	"2000"	"2000"	"75 years"	"75"	26463
	"Alabama"	"01"	"2000"	"2000"	"76 years"	"76"	25024
	"Alabama"	"01"	"2000"	"2000"	"77 years"	"77"	23635
	"Alabama"	"01"	"2000"	"2000"	"78 years"	"78"	22410
	"Alabama"	"01"	"2000"	"2000"	"79 years"	"79"	20946
	"Alabama"	"01"	"2000"	"2000"	"80 years"	"80"	20301
	"Alabama"	"01"	"2000"	"2000"	"81 years"	"81"	16648
	"Alabama"	"01"	"2000"	"2000"	"82 years"	"82"	14630
	"Alabama"	"01"	"2000"	"2000"	"83 years"	"83"	14163
	"Alabama"	"01"	"2000"	"2000"	"84 years"	"84"	12459
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	67561
	"Alabama"	"01"	"2001"	"2001"	"14 years"	"14"	63358
	"Alabama"	"01"	"2001"	"2001"	"15 years"	"15"	63966
	"Alabama"	"01"	"2001"	"2001"	"16 years"	"16"	64969
	"Alabama"	"01"	"2001"	"2001"	"17 years"	"17"	63709
	"Alabama"	"01"	"2001"	"2001"	"18 years"	"18"	64191
	"Alabama"	"01"	"2001"	"2001"	"19 years"	"19"	65031
	"Alabama"	"01"	"2001"	"2001"	"20 years"	"20"	68511
	"Alabama"	"01"	"2001"	"2001"	"21 years"	"21"	67705
	"Alabama"	"01"	"2001"	"2001"	"22 years"	"22"	63567
	"Alabama"	"01"	"2001"	"2001"	"23 years"	"23"	60597
	"Alabama"	"01"	"2001"	"2001"	"24 years"	"24"	58361
	"Alabama"	"01"	"2001"	"2001"	"25 years"	"25"	54919
	"Alabama"	"01"	"2001"	"2001"	"26 years"	"26"	57623
	"Alabama"	"01"	"2001"	"2001"	"27 years"	"27"	56594
	"Alabama"	"01"	"2001"	"2001"	"28 years"	"28"	57597
	"Alabama"	"01"	"2001"	"2001"	"29 years"	"29"	60030
	"Alabama"	"01"	"2001"	"2001"	"30 years"	"30"	63435
	"Alabama"	"01"	"2001"	"2001"	"31 years"	"31"	62694
	"Alabama"	"01"	"2001"	"2001"	"32 years"	"32"	59491
	"Alabama"	"01"	"2001"	"2001"	"33 years"	"33"	57620
	"Alabama"	"01"	"2001"	"2001"	"34 years"	"34"	58946
	"Alabama"	"01"	"2001"	"2001"	"35 years"	"35"	61679
	"Alabama"	"01"	"2001"	"2001"	"36 years"	"36"	66579
	"Alabama"	"01"	"2001"	"2001"	"37 years"	"37"	67195
	"Alabama"	"01"	"2001"	"2001"	"38 years"	"38"	67140
	"Alabama"	"01"	"2001"	"2001"	"39 years"	"39"	68277
	"Alabama"	"01"	"2001"	"2001"	"40 years"	"40"	69022
	"Alabama"	"01"	"2001"	"2001"	"41 years"	"41"	70421
	"Alabama"	"01"	"2001"	"2001"	"42 years"	"42"	68758
	"Alabama"	"01"	"2001"	"2001"	"43 years"	"43"	69348
	"Alabama"	"01"	"2001"	"2001"	"44 years"	"44"	69584
	"Alabama"	"01"	"2001"	"2001"	"45 years"	"45"	66824
	"Alabama"	"01"	"2001"	"2001"	"46 years"	"46"	67379
	"Alabama"	"01"	"2001"	"2001"	"47 years"	"47"	65272
	"Alabama"	"01"	"2001"	"2001"	"48 years"	"48"	62677
	"Alabama"	"01"	"2001"	"2001"	"49 years"	"49"	61195
	"Alabama"	"01"	"2001"	"2001"	"50 years"	"50"	59545
	"Alabama"	"01"	"2001"	"2001"	"51 years"	"51"	60476
	"Alabama"	"01"	"2001"	"2001"	"52 years"	"52"	59504
	"Alabama"	"01"	"2001"	"2001"	"53 years"	"53"	59098
	"Alabama"	"01"	"2001"	"2001"	"54 years"	"54"	61485
	"Alabama"	"01"	"2001"	"2001"	"55 years"	"55"	46480
	"Alabama"	"01"	"2001"	"2001"	"56 years"	"56"	46753
	"Alabama"	"01"	"2001"	"2001"	"57 years"	"57"	47068
	"Alabama"	"01"	"2001"	"2001"	"58 years"	"58"	48275
	"Alabama"	"01"	"2001"	"2001"	"59 years"	"59"	42626
	"Alabama"	"01"	"2001"	"2001"	"60 years"	"60"	40595
	"Alabama"	"01"	"2001"	"2001"	"61 years"	"61"	40436
	"Alabama"	"01"	"2001"	"2001"	"62 years"	"62"	38348
	"Alabama"	"01"	"2001"	"2001"	"63 years"	"63"	38478
	"Alabama"	"01"	"2001"	"2001"	"64 years"	"64"	35965
	"Alabama"	"01"	"2001"	"2001"	"65 years"	"65"	35892
	"Alabama"	"01"	"2001"	"2001"	"66 years"	"66"	35924
	"Alabama"	"01"	"2001"	"2001"	"67 years"	"67"	32868
	"Alabama"	"01"	"2001"	"2001"	"68 years"	"68"	32683
	"Alabama"	"01"	"2001"	"2001"	"69 years"	"69"	31894
	"Alabama"	"01"	"2001"	"2001"	"70 years"	"70"	31107
	"Alabama"	"01"	"2001"	"2001"	"71 years"	"71"	31174
	"Alabama"	"01"	"2001"	"2001"	"72 years"	"72"	29155
	"Alabama"	"01"	"2001"	"2001"	"73 years"	"73"	29288
	"Alabama"	"01"	"2001"	"2001"	"74 years"	"74"	28277
	"Alabama"	"01"	"2001"	"2001"	"75 years"	"75"	26091
	"Alabama"	"01"	"2001"	"2001"	"76 years"	"76"	25286
	"Alabama"	"01"	"2001"	"2001"	"77 years"	"77"	23859
	"Alabama"	"01"	"2001"	"2001"	"78 years"	"78"	22347
	"Alabama"	"01"	"2001"	"2001"	"79 years"	"79"	21167
	"Alabama"	"01"	"2001"	"2001"	"80 years"	"80"	19671
	"Alabama"	"01"	"2001"	"2001"	"81 years"	"81"	18744
	"Alabama"	"01"	"2001"	"2001"	"82 years"	"82"	15294
	"Alabama"	"01"	"2001"	"2001"	"83 years"	"83"	13331
	"Alabama"	"01"	"2001"	"2001"	"84 years"	"84"	12843
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	66936
	"Alabama"	"01"	"2002"	"2002"	"14 years"	"14"	63167
	"Alabama"	"01"	"2002"	"2002"	"15 years"	"15"	63662
	"Alabama"	"01"	"2002"	"2002"	"16 years"	"16"	64381
	"Alabama"	"01"	"2002"	"2002"	"17 years"	"17"	64861
	"Alabama"	"01"	"2002"	"2002"	"18 years"	"18"	63676
	"Alabama"	"01"	"2002"	"2002"	"19 years"	"19"	64169
	"Alabama"	"01"	"2002"	"2002"	"20 years"	"20"	65515
	"Alabama"	"01"	"2002"	"2002"	"21 years"	"21"	68684
	"Alabama"	"01"	"2002"	"2002"	"22 years"	"22"	67026
	"Alabama"	"01"	"2002"	"2002"	"23 years"	"23"	62791
	"Alabama"	"01"	"2002"	"2002"	"24 years"	"24"	58796
	"Alabama"	"01"	"2002"	"2002"	"25 years"	"25"	57139
	"Alabama"	"01"	"2002"	"2002"	"26 years"	"26"	54290
	"Alabama"	"01"	"2002"	"2002"	"27 years"	"27"	57108
	"Alabama"	"01"	"2002"	"2002"	"28 years"	"28"	55948
	"Alabama"	"01"	"2002"	"2002"	"29 years"	"29"	56518
	"Alabama"	"01"	"2002"	"2002"	"30 years"	"30"	59947
	"Alabama"	"01"	"2002"	"2002"	"31 years"	"31"	62850
	"Alabama"	"01"	"2002"	"2002"	"32 years"	"32"	62683
	"Alabama"	"01"	"2002"	"2002"	"33 years"	"33"	59461
	"Alabama"	"01"	"2002"	"2002"	"34 years"	"34"	57727
	"Alabama"	"01"	"2002"	"2002"	"35 years"	"35"	58908
	"Alabama"	"01"	"2002"	"2002"	"36 years"	"36"	61641
	"Alabama"	"01"	"2002"	"2002"	"37 years"	"37"	66298
	"Alabama"	"01"	"2002"	"2002"	"38 years"	"38"	67014
