State,State Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
Alabama,1,Female,F,1990,1990,1712799
Alabama,1,Female,F,1991,1991,1733472
Alabama,1,Female,F,1992,1992,1755757
Alabama,1,Female,F,1993,1993,1781034
Alabama,1,Female,F,1994,1994,1802008
Alabama,1,Female,F,1995,1995,1815308
Alabama,1,Female,F,1996,1996,1832283
Alabama,1,Female,F,1997,1997,1845587
Alabama,1,Female,F,1998,1998,1862627
Alabama,1,Female,F,1999,1999,1871999
Alabama,1,Female,F,2000,2000,1880752
Alabama,1,Female,F,2001,2001,1887694
Alabama,1,Female,F,2002,2002,1893884
Alabama,1,Female,F,2003,2003,1905424
Alabama,1,Female,F,2004,2004,1920745
Alabama,1,Female,F,2005,2005,1939779
Alabama,1,Female,F,2006,2006,1966117
Alabama,1,Female,F,2007,2007,1985962
Alabama,1,Female,F,2008,2008,2006040
Alabama,1,Female,F,2009,2009,2022896
Alabama,1,Female,F,2010,2010,2037162
Alabama,1,Female,F,2011,2011,2046768
Alabama,1,Female,F,2012,2012,2058196
Alabama,1,Female,F,2013,2013,2068794
Alabama,1,Female,F,2014,2014,2078840
Alabama,1,Female,F,2015,2015,2086816
Alabama,1,Female,F,2016,2016,2094334
Alabama,1,Female,F,2017,2017,2102474
Alabama,1,Female,F,2018,2018,2111195
Alabama,1,Female,F,2019,2019,2120921
Alabama,1,Male,M,1990,1990,1525176
Alabama,1,Male,M,1991,1991,1545123
Alabama,1,Male,M,1992,1992,1569192
Alabama,1,Male,M,1993,1993,1595125
Alabama,1,Male,M,1994,1994,1616332
Alabama,1,Male,M,1995,1995,1630706
Alabama,1,Male,M,1996,1996,1648347
Alabama,1,Male,M,1997,1997,1662929
Alabama,1,Male,M,1998,1998,1682414
Alabama,1,Male,M,1999,1999,1694140
Alabama,1,Male,M,2000,2000,1705531
Alabama,1,Male,M,2001,2001,1715533
Alabama,1,Male,M,2002,2002,1725686
Alabama,1,Male,M,2003,2003,1741517
Alabama,1,Male,M,2004,2004,1757752
Alabama,1,Male,M,2005,2005,1778520
Alabama,1,Male,M,2006,2006,1805671
Alabama,1,Male,M,2007,2007,1825814
Alabama,1,Male,M,2008,2008,1845755
Alabama,1,Male,M,2009,2009,1866733
Alabama,1,Male,M,2010,2010,1879995
Alabama,1,Male,M,2011,2011,1886828
Alabama,1,Male,M,2012,2012,1897020
Alabama,1,Male,M,2013,2013,1907062
Alabama,1,Male,M,2014,2014,1915000
Alabama,1,Male,M,2015,2015,1921787
Alabama,1,Male,M,2016,2016,1926165
Alabama,1,Male,M,2017,2017,1929528
Alabama,1,Male,M,2018,2018,1934462
Alabama,1,Male,M,2019,2019,1941170
Alaska,2,Female,F,1990,1990,190730
Alaska,2,Female,F,1991,1991,197638
Alaska,2,Female,F,1992,1992,205580
Alaska,2,Female,F,1993,1993,210534
Alaska,2,Female,F,1994,1994,213916
Alaska,2,Female,F,1995,1995,217528
Alaska,2,Female,F,1996,1996,220872
Alaska,2,Female,F,1997,1997,223220
Alaska,2,Female,F,1998,1998,225505
Alaska,2,Female,F,1999,1999,229222
Alaska,2,Female,F,2000,2000,231734
Alaska,2,Female,F,2001,2001,235200
Alaska,2,Female,F,2002,2002,239722
Alaska,2,Female,F,2003,2003,243912
Alaska,2,Female,F,2004,2004,249214
Alaska,2,Female,F,2005,2005,253192
Alaska,2,Female,F,2006,2006,257258
Alaska,2,Female,F,2007,2007,259589
Alaska,2,Female,F,2008,2008,261698
Alaska,2,Female,F,2009,2009,267361
Alaska,2,Female,F,2010,2010,271178
Alaska,2,Female,F,2011,2011,274697
Alaska,2,Female,F,2012,2012,277755
Alaska,2,Female,F,2013,2013,279555
Alaska,2,Female,F,2014,2014,279437
Alaska,2,Female,F,2015,2015,280044
Alaska,2,Female,F,2016,2016,281794
Alaska,2,Female,F,2017,2017,282183
Alaska,2,Female,F,2018,2018,281451
Alaska,2,Female,F,2019,2019,281107
Alaska,2,Male,M,1990,1990,216085
Alaska,2,Male,M,1991,1991,222783
Alaska,2,Male,M,1992,1992,232002
Alaska,2,Male,M,1993,1993,236831
Alaska,2,Male,M,1994,1994,238581
Alaska,2,Male,M,1995,1995,239355
Alaska,2,Male,M,1996,1996,241480
Alaska,2,Male,M,1997,1997,242604
Alaska,2,Male,M,1998,1998,244509
Alaska,2,Male,M,1999,1999,247731
Alaska,2,Male,M,2000,2000,249759
Alaska,2,Male,M,2001,2001,254050
Alaska,2,Male,M,2002,2002,259096
Alaska,2,Male,M,2003,2003,262406
Alaska,2,Male,M,2004,2004,269270
Alaska,2,Male,M,2005,2005,274323
Alaska,2,Male,M,2006,2006,278452
Alaska,2,Male,M,2007,2007,281465
Alaska,2,Male,M,2008,2008,285922
Alaska,2,Male,M,2009,2009,287796
Alaska,2,Male,M,2010,2010,296461
Alaska,2,Male,M,2011,2011,299931
Alaska,2,Male,M,2012,2012,304783
Alaska,2,Male,M,2013,2013,309399
Alaska,2,Male,M,2014,2014,309966
Alaska,2,Male,M,2015,2015,310963
Alaska,2,Male,M,2016,2016,312397
Alaska,2,Male,M,2017,2017,311195
Alaska,2,Male,M,2018,2018,309309
Alaska,2,Male,M,2019,2019,308374
Arizona,4,Female,F,1990,1990,1469424
Arizona,4,Female,F,1991,1991,1512676
Arizona,4,Female,F,1992,1992,1565415
Arizona,4,Female,F,1993,1993,1624957
Arizona,4,Female,F,1994,1994,1706076
Arizona,4,Female,F,1995,1995,1778493
Arizona,4,Female,F,1996,1996,1839581
Arizona,4,Female,F,1997,1997,1905567
Arizona,4,Female,F,1998,1998,1956737
Arizona,4,Female,F,1999,1999,2006260
Arizona,4,Female,F,2000,2000,2056947
