GeoFips,GeoName,Year,Per Capita Personal Income
0,United States,1929,699
1000,Alabama,1929,319
2000,Alaska,1929,
4000,Arizona,1929,598
5000,Arkansas,1929,303
6000,California,1929,994
8000,Colorado,1929,631
9000,Connecticut,1929,1029
10000,Delaware,1929,1031
11000,District of Columbia,1929,1324
12000,Florida,1929,519
13000,Georgia,1929,343
15000,Hawaii *,1929,
16000,Idaho,1929,499
17000,Illinois,1929,951
18000,Indiana,1929,605
19000,Iowa,1929,571
20000,Kansas,1929,526
21000,Kentucky,1929,388
22000,Louisiana,1929,409
23000,Maine,1929,600
24000,Maryland,1929,775
25000,Massachusetts,1929,911
26000,Michigan,1929,792
27000,Minnesota,1929,594
28000,Mississippi,1929,277
29000,Missouri,1929,619
30000,Montana,1929,592
31000,Nebraska,1929,584
32000,Nevada,1929,874
33000,New Hampshire,1929,688
34000,New Jersey,1929,921
35000,New Mexico,1929,405
36000,New York,1929,1156
37000,North Carolina,1929,327
38000,North Dakota,1929,377
39000,Ohio,1929,772
40000,Oklahoma,1929,449
41000,Oregon,1929,666
42000,Pennsylvania,1929,776
44000,Rhode Island,1929,881
45000,South Carolina,1929,267
46000,South Dakota,1929,415
47000,Tennessee,1929,373
48000,Texas,1929,474
49000,Utah,1929,548
50000,Vermont,1929,630
51000,Virginia,1929,435
53000,Washington,1929,740
54000,West Virginia,1929,459
55000,Wisconsin,1929,670
56000,Wyoming,1929,672
91000,New England,1929,876
92000,Mideast,1929,972
93000,Great Lakes,1929,796
94000,Plains,1929,566
95000,Southeast,1929,363
96000,Southwest,1929,470
97000,Rocky Mountain,1929,589
98000,Far West,1929,905
0,United States,1938,531
1000,Alabama,1938,242
2000,Alaska,1938,
4000,Arizona,1938,479
5000,Arkansas,1938,228
6000,California,1938,779
8000,Colorado,1938,508
9000,Connecticut,1938,779
10000,Delaware,1938,801
11000,District of Columbia,1938,1142
12000,Florida,1938,466
13000,Georgia,1938,288
15000,Hawaii *,1938,
16000,Idaho,1938,421
17000,Illinois,1938,652
18000,Indiana,1938,472
19000,Iowa,1938,451
20000,Kansas,1938,383
21000,Kentucky,1938,296
22000,Louisiana,1938,347
23000,Maine,1938,476
24000,Maryland,1938,644
25000,Massachusetts,1938,683
26000,Michigan,1938,574
27000,Minnesota,1938,493
28000,Mississippi,1938,196
29000,Missouri,1938,476
30000,Montana,1938,515
31000,Nebraska,1938,402
32000,Nevada,1938,785
33000,New Hampshire,1938,537
34000,New Jersey,1938,704
35000,New Mexico,1938,338
36000,New York,1938,801
37000,North Carolina,1938,291
38000,North Dakota,1938,282
39000,Ohio,1938,565
40000,Oklahoma,1938,345
41000,Oregon,1938,531
42000,Pennsylvania,1938,570
44000,Rhode Island,1938,683
45000,South Carolina,1938,248
46000,South Dakota,1938,317
47000,Tennessee,1938,298
48000,Texas,1938,404
49000,Utah,1938,446
50000,Vermont,1938,458
51000,Virginia,1938,394
53000,Washington,1938,583
54000,West Virginia,1938,371
55000,Wisconsin,1938,508
56000,Wyoming,1938,560
91000,New England,1938,663
92000,Mideast,1938,710
93000,Great Lakes,1938,574
94000,Plains,1938,438
95000,Southeast,1938,303
96000,Southwest,1938,390
97000,Rocky Mountain,1938,487
98000,Far West,1938,717
0,United States,1933,375
1000,Alabama,1933,164
2000,Alaska,1933,
4000,Arizona,1933,309
5000,Arkansas,1933,153
6000,California,1933,550
8000,Colorado,1933,353
9000,Connecticut,1933,591
10000,Delaware,1933,566
11000,District of Columbia,1933,945
12000,Florida,1933,289
13000,Georgia,1933,202
15000,Hawaii *,1933,
16000,Idaho,1933,228
17000,Illinois,1933,441
18000,Indiana,1933,294
19000,Iowa,1933,252
20000,Kansas,1933,251
21000,Kentucky,1933,204
22000,Louisiana,1933,226
23000,Maine,1933,373
24000,Maryland,1933,475
25000,Massachusetts,1933,568
26000,Michigan,1933,348
27000,Minnesota,1933,310
28000,Mississippi,1933,127
29000,Missouri,1933,334
30000,Montana,1933,299
31000,Nebraska,1933,273
32000,Nevada,1933,499
33000,New Hampshire,1933,420
34000,New Jersey,1933,529
35000,New Mexico,1933,211
36000,New York,1933,634
37000,North Carolina,1933,203
38000,North Dakota,1933,151
39000,Ohio,1933,387
40000,Oklahoma,1933,220
