"Notes"	"State"	"State Code"	"Age"	"Age Code"	"Gender"	"Gender Code"	Population
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	930973
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	973885
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	939321
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	984495
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	944570
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	989958
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	950248
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	995666
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	958123
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	987187
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	993738
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	997544
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	1002738
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	995316
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	1002731
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	988254
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	987054
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	978400
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	972060
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	973803
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	956782
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	951541
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	950383
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	937886
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	944096
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	921488
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	943553
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	920252
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	926820
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	900746
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	930982
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	902797
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	934135
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	906016
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	924018
	"Alabama"	"01"	"31 years"	"31"	"Male"	"M"	891451
	"Alabama"	"01"	"32 years"	"32"	"Female"	"F"	936205
	"Alabama"	"01"	"32 years"	"32"	"Male"	"M"	898496
	"Alabama"	"01"	"33 years"	"33"	"Female"	"F"	944647
	"Alabama"	"01"	"33 years"	"33"	"Male"	"M"	904519
	"Alabama"	"01"	"34 years"	"34"	"Female"	"F"	960045
	"Alabama"	"01"	"34 years"	"34"	"Male"	"M"	925060
	"Alabama"	"01"	"35 years"	"35"	"Female"	"F"	972543
	"Alabama"	"01"	"35 years"	"35"	"Male"	"M"	929736
	"Alabama"	"01"	"36 years"	"36"	"Female"	"F"	966906
	"Alabama"	"01"	"36 years"	"36"	"Male"	"M"	927591
	"Alabama"	"01"	"37 years"	"37"	"Female"	"F"	971254
	"Alabama"	"01"	"37 years"	"37"	"Male"	"M"	926076
	"Alabama"	"01"	"38 years"	"38"	"Female"	"F"	963983
	"Alabama"	"01"	"38 years"	"38"	"Male"	"M"	916293
	"Alabama"	"01"	"39 years"	"39"	"Female"	"F"	984236
	"Alabama"	"01"	"39 years"	"39"	"Male"	"M"	937715
	"Alabama"	"01"	"40 years"	"40"	"Female"	"F"	980512
	"Alabama"	"01"	"40 years"	"40"	"Male"	"M"	935839
	"Alabama"	"01"	"41 years"	"41"	"Female"	"F"	976957
	"Alabama"	"01"	"41 years"	"41"	"Male"	"M"	926462
	"Alabama"	"01"	"42 years"	"42"	"Female"	"F"	978523
	"Alabama"	"01"	"42 years"	"42"	"Male"	"M"	931152
	"Alabama"	"01"	"43 years"	"43"	"Female"	"F"	978465
	"Alabama"	"01"	"43 years"	"43"	"Male"	"M"	930067
	"Alabama"	"01"	"44 years"	"44"	"Female"	"F"	974790
	"Alabama"	"01"	"44 years"	"44"	"Male"	"M"	931939
	"Alabama"	"01"	"45 years"	"45"	"Female"	"F"	970512
	"Alabama"	"01"	"45 years"	"45"	"Male"	"M"	923730
	"Alabama"	"01"	"46 years"	"46"	"Female"	"F"	961542
	"Alabama"	"01"	"46 years"	"46"	"Male"	"M"	911490
	"Alabama"	"01"	"47 years"	"47"	"Female"	"F"	960904
	"Alabama"	"01"	"47 years"	"47"	"Male"	"M"	907073
	"Alabama"	"01"	"48 years"	"48"	"Female"	"F"	945684
	"Alabama"	"01"	"48 years"	"48"	"Male"	"M"	891807
	"Alabama"	"01"	"49 years"	"49"	"Female"	"F"	947067
	"Alabama"	"01"	"49 years"	"49"	"Male"	"M"	895291
	"Alabama"	"01"	"50 years"	"50"	"Female"	"F"	934920
	"Alabama"	"01"	"50 years"	"50"	"Male"	"M"	879886
	"Alabama"	"01"	"51 years"	"51"	"Female"	"F"	915177
	"Alabama"	"01"	"51 years"	"51"	"Male"	"M"	862201
	"Alabama"	"01"	"52 years"	"52"	"Female"	"F"	908217
	"Alabama"	"01"	"52 years"	"52"	"Male"	"M"	850086
	"Alabama"	"01"	"53 years"	"53"	"Female"	"F"	895212
	"Alabama"	"01"	"53 years"	"53"	"Male"	"M"	838491
	"Alabama"	"01"	"54 years"	"54"	"Female"	"F"	890665
	"Alabama"	"01"	"54 years"	"54"	"Male"	"M"	830321
	"Alabama"	"01"	"55 years"	"55"	"Female"	"F"	870484
	"Alabama"	"01"	"55 years"	"55"	"Male"	"M"	806041
	"Alabama"	"01"	"56 years"	"56"	"Female"	"F"	855380
	"Alabama"	"01"	"56 years"	"56"	"Male"	"M"	791472
	"Alabama"	"01"	"57 years"	"57"	"Female"	"F"	837803
	"Alabama"	"01"	"57 years"	"57"	"Male"	"M"	768500
	"Alabama"	"01"	"58 years"	"58"	"Female"	"F"	814774
	"Alabama"	"01"	"58 years"	"58"	"Male"	"M"	744120
	"Alabama"	"01"	"59 years"	"59"	"Female"	"F"	803606
	"Alabama"	"01"	"59 years"	"59"	"Male"	"M"	727802
	"Alabama"	"01"	"60 years"	"60"	"Female"	"F"	783564
	"Alabama"	"01"	"60 years"	"60"	"Male"	"M"	705229
	"Alabama"	"01"	"61 years"	"61"	"Female"	"F"	761446
	"Alabama"	"01"	"61 years"	"61"	"Male"	"M"	678734
	"Alabama"	"01"	"62 years"	"62"	"Female"	"F"	746918
	"Alabama"	"01"	"62 years"	"62"	"Male"	"M"	662545
	"Alabama"	"01"	"63 years"	"63"	"Female"	"F"	728513
	"Alabama"	"01"	"63 years"	"63"	"Male"	"M"	642351
	"Alabama"	"01"	"64 years"	"64"	"Female"	"F"	712239
	"Alabama"	"01"	"64 years"	"64"	"Male"	"M"	621672
	"Alabama"	"01"	"65 years"	"65"	"Female"	"F"	691127
	"Alabama"	"01"	"65 years"	"65"	"Male"	"M"	596023
	"Alabama"	"01"	"66 years"	"66"	"Female"	"F"	668894
	"Alabama"	"01"	"66 years"	"66"	"Male"	"M"	571636
	"Alabama"	"01"	"67 years"	"67"	"Female"	"F"	653991
	"Alabama"	"01"	"67 years"	"67"	"Male"	"M"	555946
	"Alabama"	"01"	"68 years"	"68"	"Female"	"F"	628412
	"Alabama"	"01"	"68 years"	"68"	"Male"	"M"	527399
	"Alabama"	"01"	"69 years"	"69"	"Female"	"F"	608030
	"Alabama"	"01"	"69 years"	"69"	"Male"	"M"	500422
	"Alabama"	"01"	"70 years"	"70"	"Female"	"F"	593719
	"Alabama"	"01"	"70 years"	"70"	"Male"	"M"	479997
	"Alabama"	"01"	"71 years"	"71"	"Female"	"F"	564625
	"Alabama"	"01"	"71 years"	"71"	"Male"	"M"	451025
	"Alabama"	"01"	"72 years"	"72"	"Female"	"F"	540149
	"Alabama"	"01"	"72 years"	"72"	"Male"	"M"	422569
	"Alabama"	"01"	"73 years"	"73"	"Female"	"F"	515048
	"Alabama"	"01"	"73 years"	"73"	"Male"	"M"	396189
	"Alabama"	"01"	"74 years"	"74"	"Female"	"F"	497216
	"Alabama"	"01"	"74 years"	"74"	"Male"	"M"	373690
	"Alabama"	"01"	"75 years"	"75"	"Female"	"F"	479111
	"Alabama"	"01"	"75 years"	"75"	"Male"	"M"	349098
	"Alabama"	"01"	"76 years"	"76"	"Female"	"F"	458243
	"Alabama"	"01"	"76 years"	"76"	"Male"	"M"	325371
	"Alabama"	"01"	"77 years"	"77"	"Female"	"F"	433394
	"Alabama"	"01"	"77 years"	"77"	"Male"	"M"	300365
	"Alabama"	"01"	"78 years"	"78"	"Female"	"F"	412198
	"Alabama"	"01"	"78 years"	"78"	"Male"	"M"	275413
	"Alabama"	"01"	"79 years"	"79"	"Female"	"F"	389954
	"Alabama"	"01"	"79 years"	"79"	"Male"	"M"	252105
	"Alabama"	"01"	"80 years"	"80"	"Female"	"F"	371991
	"Alabama"	"01"	"80 years"	"80"	"Male"	"M"	232226
	"Alabama"	"01"	"81 years"	"81"	"Female"	"F"	339892
	"Alabama"	"01"	"81 years"	"81"	"Male"	"M"	204593
	"Alabama"	"01"	"82 years"	"82"	"Female"	"F"	310753
	"Alabama"	"01"	"82 years"	"82"	"Male"	"M"	181352
	"Alabama"	"01"	"83 years"	"83"	"Female"	"F"	293569
	"Alabama"	"01"	"83 years"	"83"	"Male"	"M"	161879
	"Alabama"	"01"	"84 years"	"84"	"Female"	"F"	266868
	"Alabama"	"01"	"84 years"	"84"	"Male"	"M"	141026
	"Alabama"	"01"	"85+ years"	"85+"	"Female"	"F"	1484465
	"Alabama"	"01"	"85+ years"	"85+"	"Male"	"M"	622217
	"Alaska"	"02"	"14 years"	"14"	"Female"	"F"	149013
	"Alaska"	"02"	"14 years"	"14"	"Male"	"M"	158359
	"Alaska"	"02"	"15 years"	"15"	"Female"	"F"	148559
	"Alaska"	"02"	"15 years"	"15"	"Male"	"M"	157713
	"Alaska"	"02"	"16 years"	"16"	"Female"	"F"	145913
	"Alaska"	"02"	"16 years"	"16"	"Male"	"M"	155957
	"Alaska"	"02"	"17 years"	"17"	"Female"	"F"	144809
	"Alaska"	"02"	"17 years"	"17"	"Male"	"M"	157228
	"Alaska"	"02"	"18 years"	"18"	"Female"	"F"	130514
	"Alaska"	"02"	"18 years"	"18"	"Male"	"M"	147989
	"Alaska"	"02"	"19 years"	"19"	"Female"	"F"	120575
	"Alaska"	"02"	"19 years"	"19"	"Male"	"M"	146629
	"Alaska"	"02"	"20 years"	"20"	"Female"	"F"	124790
	"Alaska"	"02"	"20 years"	"20"	"Male"	"M"	159923
